L*,C*,S12,Thr,Lys,His,分组
59.57,19.52,0.998597572,5.406,7.57149,0,0
60.03,18.12,0.998549308,5.86836,8.28552,9.00E-05,0
57.84,17.58,0.998616008,4.96401,6.82923,3.00E-05,0
60.54311157,18.80107671,0.998321959,5.03481,6.99906,6.00E-05,0
58.71654519,18.71293641,0.998481749,5.37075,8.0346,6.00E-05,0
57.66765005,18.60235616,0.998592092,5.06784,8.46915,-3.00E-05,0
58.73950415,17.49792975,0.99860024,5.31618,7.3035,6.00E-05,0
59.5149707,17.70709041,0.998564474,6.1731,7.55934,0,0
59.76905555,17.85796122,0.998604705,4.94544,7.15275,0,0
59.37807,20.08061476,0.998592391,5.04966,7.4178,9.00E-05,0
56.36465493,18.49939205,0.998077844,5.9202,7.16298,6.00E-05,0
59.32705683,20.06032838,0.99782811,6.62493,7.49079,9.00E-05,0
57.42612384,19.2516965,0.997986063,5.36814,7.30407,6.00E-05,0
59.59060315,18.28089114,0.998062031,5.16201,7.45332,6.00E-05,0
60.11467045,17.50306446,0.998082329,5.80575,7.93413,-3.00E-05,0
60.28109133,19.15040181,0.99803704,5.6475,6.87036,0,0
57.17335044,19.42370794,0.998049651,5.62155,7.18755,3.00E-05,0
59.61728975,17.59503949,0.998029557,6.01473,8.33907,9.00E-05,0
59.45449466,17.55391158,0.998003111,4.90431,7.94361,6.00E-05,0
59.82499777,17.65199136,0.99803093,5.28216,8.26248,-3.00E-05,0
60.38530972,17.94587252,0.999157146,5.53536,8.20746,0,0
58.64078603,18.81775225,0.999151431,5.89467,8.51694,3.00E-05,0
56.81821934,17.69563644,0.99913758,5.12868,6.75642,6.00E-05,0
55.14835391,19.23452728,0.999106594,5.53701,6.27921,-3.00E-05,0
59.87080814,19.05240271,0.999043751,5.52765,7.57572,3.00E-05,0
58.50072422,19.00622863,0.999021944,5.23332,7.6362,0,0
60.62171525,20.41312009,0.99906173,5.82519,7.75245,1.20E-04,0
61.41849703,17.97441564,0.999076184,5.4387,7.34976,0,0
58.13259329,19.2935648,0.999019372,5.35305,7.10334,1.20E-04,0
59.06300527,18.7200985,0.998862495,5.35128,8.7585,9.00E-05,0
64.16,18.36,0.99600457,6.12309,11.55582,0,1
63.93,17.37,0.995813018,6.70359,12.01275,6.00E-05,1
63.32,17.11,0.995946216,5.54235,11.11782,1.20E-04,1
63.82959382,17.64431159,0.995989186,5.08839,10.9743,6.00E-05,1
64.21403579,17.49796018,0.996016441,5.09382,11.41101,0,1
63.70224203,18.46718081,0.99602213,5.68431,11.4777,9.00E-05,1
63.75302798,17.21840047,0.995944336,6.02025,11.38491,1.50E-04,1
63.15021647,17.81830039,0.995966439,6.89538,11.53821,9.00E-05,1
64.07098529,17.70285423,0.995976523,6.45114,10.85049,6.00E-05,1
63.43595363,16.93947159,0.99598875,5.30772,12.2223,6.00E-05,1
64.28723017,17.98597271,0.995606408,5.74053,12.61338,3.00E-05,1
64.20472596,18.38119556,0.995530816,5.12001,11.9466,6.00E-05,1
64.12533932,18.58711639,0.99540846,6.63141,11.60475,6.00E-05,1
